f1,f2,value
"ES CRP FLOW Manual de usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.2656479577951544
"ES CRP FLOW Manual de usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.23785362112799663
"ES CRP FLOW Manual de usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.2560737916271755
"ES CRP FLOW Manual de usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.12910404993966368
"ES DVD Manual de Usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.5901284246074777
"ES DVD Manual de Usuario.txt","ES CRP FLOW Manual de usuario.txt",0.3201217683487242
"ES DVD Manual de Usuario.txt","ES DVD Manual de Usuario.txt",1.0
"ES DVD Manual de Usuario.txt","ES EAS Manual de Usuario.txt",0.48897201894120185
"ES DVD Manual de Usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.2637373297634416
"ES DVD Manual de Usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.18500275937940147
"ES DVD Manual de Usuario.txt","ES EBIMAP Manual de usuario.txt",0.2911768301895761
"ES DVD Manual de Usuario.txt","ES EBIMON Manual Usuario.txt",0.264530092765389
"ES DVD Manual de Usuario.txt","ES EDICOM TSA Manual de usuario.txt",0.16976796938404912
"ES DVD Manual de Usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.36459357015078303
"ES DVD Manual de Usuario.txt","ES EDICOMNET Manual Usuario.txt",0.37957649975564506
"ES DVD Manual de Usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.5030985201511586
"ES DVD Manual de Usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.7307159017847661
"ES DVD Manual de Usuario.txt","ES EDIWIN Manual Usuario.txt",0.6228043940048081
"ES DVD Manual de Usuario.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.7865851170784641
"ES DVD Manual de Usuario.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.6048668332464768
"ES DVD Manual de Usuario.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.7781321670105744
"ES DVD Manual de Usuario.txt","ES EDIWINMONITOR Manual de usuario.txt",0.6285554696560451
"ES DVD Manual de Usuario.txt","ES EOS Manual de usuario.txt",0.5160743584798695
"ES DVD Manual de Usuario.txt","ES RAEDICOM Manual de Usuario.txt",0.2835314985245166
"ES DVD Manual de Usuario.txt","ES WebService Inditex Guia de usuario.txt",0.40246519912908785
"ES DVD Manual de Usuario.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.7618953861869978
"ES DVD Manual de Usuario.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.7534174395255905
"ES DVD Manual de Usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.7440969090749081
"ES DVD Manual de Usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.3782351571912564
"ES DVD Manual de Usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.5172151479043791
"ES DVD Manual de Usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.2923012382859277
"ES EAS Manual de Usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.4116323129081105
"ES EAS Manual de Usuario.txt","ES CRP FLOW Manual de usuario.txt",0.24297426771458436
"ES EAS Manual de Usuario.txt","ES DVD Manual de Usuario.txt",0.48897201894120185
"ES EAS Manual de Usuario.txt","ES EAS Manual de Usuario.txt",1.0000000000000002
"ES EAS Manual de Usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.25422250868118285
